0, 219 270 237 270 236 308 217 308 219 270;
1, 267 267 286 265 285 304 265 306 267 267;
2, 317 263 336 263 335 303 315 303 317 263;
3, 367 260 388 260 388 300 366 302 367 260;
4, 420 256 440 256 440 298 419 298 420 256;
5, 473 253 497 252 493 294 472 296 473 253;
6, 528 250 553 250 551 292 527 294 528 250;
7, 585 247 608 245 606 287 584 289 585 247;
8, 642 243 669 242 667 287 641 288 642 243;
9, 702 240 725 239 725 283 700 284 702 240;
10, 215 342 235 341 233 386 211 386 215 342;
11, 264 339 284 339 281 383 260 384 264 339;
12, 313 337 333 336 330 383 311 384 313 337;
13, 364 336 384 335 383 381 361 382 364 336;
14, 415 333 437 333 435 379 414 378 415 333;
15, 470 331 493 331 491 377 470 378 470 331;
16, 525 329 548 328 546 374 524 374 525 329;
17, 581 326 605 326 604 374 580 374 581 326;
18, 639 324 665 324 663 372 638 371 639 324;
19, 698 322 724 322 722 370 697 371 698 322;
20, 210 421 230 421 228 472 207 472 210 421;
21, 256 420 279 419 277 472 255 472 256 420;
22, 308 419 329 419 328 472 306 472 308 419;
23, 360 419 380 419 380 472 358 472 360 419;
24, 413 416 435 416 432 472 410 471 413 416;
25, 468 416 490 416 490 470 466 470 468 416;
26, 522 413 545 413 543 469 520 470 522 413;
27, 579 413 603 413 601 468 578 470 579 413;
28, 637 411 661 411 659 467 638 467 637 411;
29, 696 411 720 411 718 467 695 467 696 411;
30, 205 508 224 508 223 563 202 563 205 508;
31, 253 509 274 509 272 563 252 563 253 509;
32, 304 509 324 509 323 563 302 563 304 509;
33, 355 509 377 509 375 564 354 564 355 509;
34, 408 509 430 509 430 564 407 565 408 509;
35, 459 510 484 510 483 566 458 566 459 510;
36, 518 508 541 509 541 565 517 566 518 508;
37, 574 508 598 508 598 567 573 567 574 508;
38, 633 509 660 511 658 567 632 567 633 509;
39, 694 509 720 511 717 569 694 569 694 509;
40, 199 607 219 608 218 667 197 667 199 607;
41, 247 608 268 609 266 669 246 668 247 608;
42, 298 611 321 612 318 672 295 670 298 611;
43, 350 612 372 612 372 674 348 672 350 612;
44, 403 612 428 612 428 674 402 672 403 612;
45, 457 613 480 613 480 677 455 675 457 613;
46, 513 615 537 615 536 677 511 677 513 615;
47, 571 615 595 615 593 680 569 679 571 615;
48, 628 617 655 617 655 683 627 682 628 617;
49, 690 618 715 618 714 683 689 684 690 618;
